,loss,accuracy,val_loss,val_accuracy
0,1.708789587020874,0.20693597197532654,1.614182472229004,0.21718749403953552
1,1.6356496810913086,0.23200613260269165,1.6031038761138916,0.234375
2,1.6228830814361572,0.2534456253051758,1.5899593830108643,0.2554687559604645
3,1.6068223714828491,0.25306278467178345,1.577219843864441,0.2718749940395355
4,1.605109691619873,0.258805513381958,1.5664803981781006,0.28046876192092896
5,1.5877385139465332,0.28407350182533264,1.558730959892273,0.2992187440395355
6,1.5667999982833862,0.28560489416122437,1.5457123517990112,0.31562501192092896
7,1.5649000406265259,0.2886676788330078,1.5387145280838013,0.3125
8,1.5585843324661255,0.293261855840683,1.5298357009887695,0.3265624940395355
9,1.5444954633712769,0.328483909368515,1.521368384361267,0.32734376192092896
10,1.525149941444397,0.32006126642227173,1.5172767639160156,0.3296875059604645
11,1.519505262374878,0.32274118065834045,1.5127848386764526,0.3460937440395355
12,1.5172970294952393,0.32388973236083984,1.5031836032867432,0.34453123807907104
13,1.5147314071655273,0.33384379744529724,1.5045812129974365,0.34687501192092896
14,1.4973771572113037,0.33996936678886414,1.4888441562652588,0.35468751192092896
15,1.4982022047042847,0.34264931082725525,1.4838838577270508,0.3515625
16,1.4942876100540161,0.344180703163147,1.4822190999984741,0.3648437559604645
17,1.4811004400253296,0.3579632341861725,1.4785627126693726,0.3617187440395355
18,1.484860897064209,0.3629402816295624,1.475475788116455,0.3671875
19,1.470029592514038,0.3606431782245636,1.4701937437057495,0.3648437559604645
20,1.4687039852142334,0.3805513083934784,1.4626325368881226,0.37578123807907104
21,1.4584954977035522,0.36753445863723755,1.4622567892074585,0.3671875
22,1.4548348188400269,0.3778713643550873,1.4525915384292603,0.38749998807907104
23,1.4435077905654907,0.39012250304222107,1.4578739404678345,0.37109375
24,1.441773533821106,0.38131698966026306,1.4497878551483154,0.3828125
25,1.4227172136306763,0.3966309428215027,1.4552052021026611,0.3726562559604645
26,1.4255214929580688,0.3966309428215027,1.4483445882797241,0.3773437440395355
27,1.4341620206832886,0.3908882141113281,1.4453792572021484,0.38203126192092896
28,1.4101389646530151,0.40467074513435364,1.4372273683547974,0.38359373807907104
29,1.4234215021133423,0.3993108868598938,1.4347763061523438,0.3921875059604645
